req_id,system,component,priority,source,requirement_text,rationale,verification_method,acceptance_criteria
REQ-001,Train Control,Brake,High,Stakeholder,The braking system shall stop the train within 800 m when the emergency brake is applied at 160 km/h on dry track.,Ensure safe stopping distance in emergency scenarios.,Test,"Given speed = 160 km/h and emergency brake applied on dry track, then stopping distance <= 800 m in 10 consecutive runs."
REQ-002,Train Control,HMI,Medium,System Engineering,The HMI should display the status quickly and clearly for the driver.,Improve driver situational awareness.,Inspection,
REQ-003,Medical Device,Infusion Pump,Critical,Regulatory,The infusion pump shall deliver 5 mL/h ± 5% for flow rates between 1 mL/h and 10 mL/h at 23°C with saline.,Dose accuracy requirement for patient safety.,Test,"Given setpoint = 5 mL/h, temperature = 23°C, fluid = saline, then measured average flow is within ±5% over 60 minutes."
REQ-004,Automotive ECU,Diagnostics,Low,Development,The ECU shall provide diagnostic information if needed.,Support troubleshooting during maintenance.,Analysis,"Diagnostic information includes DTC code, timestamp, and current operating mode available via UDS service 0x19 within 2 seconds after request."
REQ-005,Avionics,Navigation,High,System Engineering,The navigation solution shall have high accuracy during normal operation.,Reduce navigation errors.,Analysis,Accuracy shall be acceptable.
REQ-006,Avionics,Navigation,High,System Engineering,The navigation solution shall provide position error <= 10 m (95th percentile) in nominal flight conditions.,Ensure measurable navigation performance.,Test,"Using reference trajectory, computed horizontal position error <= 10 m for at least 95% of samples over a 30-minute nominal flight profile."
REQ-007,Cybersecurity,Access Control,Critical,Regulatory,The system shall prevent unauthorized access to admin functions.,Protect safety-critical configuration.,Inspection,Role-based access control is implemented.
REQ-008,Cybersecurity,Access Control,Critical,Regulatory,"The system shall enforce RBAC such that only ADMIN role can access admin APIs, and all denied attempts are logged with user_id, timestamp and source IP.",Ensure enforceable access control and auditability.,Test,"Attempt admin API with roles USER/OPERATOR: access denied (HTTP 403). Attempt with ADMIN: access granted. Verify log entry contains user_id, timestamp, source IP for each denied attempt."
REQ-009,Train Control,Comms,Medium,System Engineering,The onboard unit shall exchange messages with wayside within 200 ms.,Meet communication latency budget.,Test,"Under nominal radio conditions (defined in test plan), end-to-end message latency <= 200 ms for 99% of 10,000 messages."
REQ-010,Train Control,Comms,Medium,System Engineering,The onboard unit shall exchange messages with wayside within 200 ms in all conditions.,Avoid latency-related hazards.,Test,Latency <= 200 ms in all conditions.
REQ-011,Medical Device,Alarm,High,Regulatory,The device shall raise an audible alarm when occlusion is detected.,Patient safety.,Test,"When occlusion is detected, alarm is audible."
REQ-012,Medical Device,Alarm,High,Regulatory,"The device shall raise an audible alarm within 2 seconds of occlusion detection, with sound pressure level >= 60 dBA at 1 meter.",Quantified safety requirement.,Test,Trigger occlusion event  verify alarm starts <= 2 s and SPL >= 60 dBA at 1 m in quiet room per test protocol.
REQ-013,Automotive ECU,Diagnostics,Medium,Development,The ECU shall store at least 50 DTCs.,Troubleshooting.,Test,"Using UDS, create DTC entries  verify ECU stores >= 50 distinct DTCs and returns them via service 0x19."
REQ-014,Automotive ECU,Diagnostics,Medium,Development,The ECU shall store DTCs reliably.,Avoid loss of diagnostic data.,Analysis,DTCs shall not be lost.
REQ-015,Satcom,Modem,High,System Engineering,The modem shall support data rate up to 20 Mbps.,Meet throughput needs.,Test,"With signal conditions per nominal spec, measured throughput >= 20 Mbps for at least 60 seconds."
REQ-016,Satcom,Modem,High,System Engineering,The modem shall support data rate up to 20 Mbps with low jitter.,Streaming stability.,Test,Throughput >= 20 Mbps and jitter is low.
REQ-017,Software Platform,Update,High,System Engineering,The software shall be updatable in the field.,Maintainability.,Inspection,Update mechanism exists.
REQ-018,Software Platform,Update,High,System Engineering,"The software shall support OTA update with rollback such that if update fails, system returns to previous version within 5 minutes without loss of configuration.",Operational continuity.,Test,Force update failure  verify rollback completes <= 5 min and configuration checksum unchanged.
REQ-019,Train Control,Safety,High,Regulatory,The system shall be safe.,Safety compliance.,Analysis,Complies with safety standards.
REQ-020,Train Control,Safety,High,Regulatory,"The system shall demonstrate compliance with EN 50128 with evidence package including requirements, traceability, tests, and safety case artifacts.",Audit readiness.,Inspection,Evidence package is produced and reviewed with zero major non-conformities in internal audit checklist.
